faction,ability_id,name,flags,text
"adepta-sororitas","abbess-sanctorum","Abbess Sanctorum","","If attached to a unit: /   -> re-roll hit rolls (all failures) for unit /   -> re-roll wound rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","acts-of-faith","Acts of Faith","","-1 to hit rolls for unit / Scope: any on battlefield. Duration: phase."
"adepta-sororitas","anchorite-sarcophagus","Anchorite Sarcophagus","","set M to 7 for self / Scope: unit. Duration: permanent."
"adepta-sororitas","angelic-ascent","Angelic Ascent","","If during the shooting phase: /   -> unit gains shoot and scoot / Scope: unit. Duration: turn."
"adepta-sororitas","angelic-judgement","Angelic Judgement","","If during the shooting phase: /   -> all enemy gains detection range modifier / Scope: any on battlefield. Duration: battle. / Applies to: units with Adepta Sororitas, Infantry, Fly."
"adepta-sororitas","anguish-of-the-unredeemed","Anguish of the Unredeemed","","If during the fight phase: /   -> self fights on death / Scope: unit. Duration: permanent."
"adepta-sororitas","attached-unit","Attached Unit","","If attached to a unit: /   -> unit gains attached unit eligibility / Scope: unit. Duration: permanent."
"adepta-sororitas","atttached-unit","Atttached Unit","","If attached to a unit: /   -> unit gains attached unit eligibility / Scope: unit. Duration: permanent."
"adepta-sororitas","auto-tapestry-of-the-emperor-s-judgement","Auto-Tapestry of the Emperor’s Judgement","","If attached to a unit: /   -> unit's weapons gain Devastating Wounds / Scope: unit. Duration: permanent."
"adepta-sororitas","cherub","Cherub","placeholder","gain ? CP / Scope: unit. Duration: one use."
"adepta-sororitas","cherubs","Cherubs","","self gains flavor text / Scope: unit. Duration: permanent."
"adepta-sororitas","clarion-of-urgency","Clarion of Urgency","","If during the fight phase and in either player's turn: /   -> unit gains to strategic reserves / Scope: self. Duration: permanent. / Applies to: units with Canoness with Jump Pack."
"adepta-sororitas","consecrated-ground","Consecrated Ground","","modify stats for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","deadly-demise-1","Deadly Demise 1","","Roll D6: on 6+, deal 1 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"adepta-sororitas","deadly-demise-d3","Deadly Demise D3","","Roll D6: on 6+, deal D3 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"adepta-sororitas","deadly-demise-d6","Deadly Demise D6","","Roll D6: on 6+, deal D6 mortal wounds to enemy within aura (within 6"") / Scope: aura 6. Duration: one use."
"adepta-sororitas","deep-strike","Deep Strike","","unit can deep strike / Scope: unit. Duration: permanent."
"adepta-sororitas","defenders-of-the-faith","Defenders of the Faith","placeholder","modify OC of unit by ? / Scope: unit. Duration: permanent."
"adepta-sororitas","denuncia-oratory","Denuncia oratory","","modify stats for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","devastating-refrain","Devastating Refrain","","If during the shooting phase: /   -> force a battle shock test on enemy within aura / Scope: unit. Duration: permanent."
"adepta-sororitas","devastating-reprise","Devastating Reprise","","unit's weapons gain Devastating Wounds / Scope: unit. Duration: phase. / Applies to: units with Adepta Sororitas, Infantry, Fly."
"adepta-sororitas","divine-deliverance","Divine Deliverance","","If during the fight phase: /   -> +3 A for unit /   -> unit's weapons gain Devastating Wounds / Scope: unit. Duration: phase."
"adepta-sororitas","embodied-prophecy","Embodied Prophecy","","If the unit charged this turn: /   -> unit's weapons gain Lethal Hits /   -> unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: phase."
"adepta-sororitas","emergency-combat-embarkation","Emergency Combat Embarkation","","unit gains once per round special / Scope: aura 6. Duration: permanent."
"adepta-sororitas","endless-suffering","Endless Suffering","","unit gains charge after advance / Scope: unit. Duration: permanent."
"adepta-sororitas","executioner-of-heretics-aura","Executioner of Heretics (Aura)","","-1 Leadership for enemy within aura / Scope: aura 6. Duration: permanent."
"adepta-sororitas","extremis-trigger-word","Extremis Trigger Word","","If during the fight phase and at selected to fight: /   -> set A to 6 for self /   -> self's arco-flails gains Hazardous / Scope: self. Duration: phase."
"adepta-sororitas","faithful-fortitude","Faithful Fortitude","","unit gains Feel No Pain 5+ / Scope: unit. Duration: phase. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","feel-no-pain-5","Feel No Pain 5+","","unit gains Feel No Pain 5+ / Scope: unit. Duration: permanent."
"adepta-sororitas","fiery-conviction","Fiery Conviction","","gain 1 CP / Scope: unit. Duration: permanent."
"adepta-sororitas","fights-first","Fights First","","unit fights first / Scope: unit. Duration: permanent."
"adepta-sororitas","firing-deck-2","Firing Deck 2","","unit gains firing deck (2) / Scope: self. Duration: permanent."
"adepta-sororitas","firing-deck-6","Firing Deck 6","","unit gains firing deck (6) / Scope: self. Duration: permanent."
"adepta-sororitas","fury-of-the-righteous","Fury of the Righteous","","If attached to a unit: /   -> unit's weapons gain Lethal Hits / Scope: unit. Duration: permanent."
"adepta-sororitas","hagiomnifex","Hagiomnifex","","Choose one (hagiomnifex-sermon): /   1. all enemy gains detection range modifier /   2. tag unit as battle shock auto succeed /   3. +1 M for unit /   4. +1 S for unit /   5. -1 to wound rolls for attacker / Scope: unit. Duration: phase. / Applies to: units with Adepta Sororitas, Character (excluding Penitent)."
"adepta-sororitas","harmonised-exorcism","Harmonised Exorcism","","+1 to hit rolls for unit / Scope: unit. Duration: phase. / Applies to: units with Exorcist."
"adepta-sororitas","healing-tears","Healing Tears","paren_plural","If at command phase and the unit has ""CELESTINE"" and the unit is below starting strength: /   -> Choose one (resurrect-allies): /     1. if the unit has ""GEMINAE SUPERIA"": return 1 model(s) to unit with full wounds /     2. if the unit has ""BODYGUARD"" and not (the unit has ""GEMINAE SUPERIA""): return D3 model(s) to unit with full wounds / Scope: unit. Duration: turn."
"adepta-sororitas","holy-cover","Holy Cover","","If during the shooting phase: /   -> unit gains benefit of cover / Scope: unit. Duration: permanent."
"adepta-sororitas","holy-hatred","Holy Hatred","","If attached to a unit: /   -> unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
"adepta-sororitas","holy-judgement","Holy Judgement","","If during the shooting phase: /   -> deal 3 mortal wounds to defender / Scope: aura 12. Duration: permanent."
"adepta-sororitas","holy-mission","Holy Mission","","If attached to a unit: /   -> unit gains attached unit eligibility / Scope: unit. Duration: permanent."
"adepta-sororitas","holy-piety","Holy Piety","","If during the fight phase: /   -> re-roll hit rolls (all failures) for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","holy-quest","Holy Quest","","+1 to hit rolls for all friendly / Scope: any on battlefield. Duration: battle. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","holy-vanguard","Holy Vanguard","","If attached to a unit: /   -> self gains special embark rule / Scope: unit. Duration: permanent."
"adepta-sororitas","hymns-of-battle","Hymns of Battle","","+1 Leadership for all friendly / Scope: any on battlefield. Duration: battle. / Applies to: units with Adepta Sororitas, Character."
"adepta-sororitas","impetuous-fervour","Impetuous Fervour","","re-roll hit rolls (ones) for unit / Scope: unit. Duration: permanent."
"adepta-sororitas","infiltrators","Infiltrators","","unit gains infiltrate / Scope: unit. Duration: one use."
"adepta-sororitas","inspirational-battle-cantics","Inspirational Battle Canticles","","tag unit as battle shocked / Scope: aura 6. Duration: permanent. / Applies to: units with Adepta Sororitas."
"adepta-sororitas","laud-hailer","Laud Hailer","","unit gains once per battle special / Scope: aura 12. Duration: one use."
"adepta-sororitas","leader","Leader","","unit gains leader / Scope: attached. Duration: permanent."
"adepta-sororitas","lifewards","Lifewards","","unit gains Feel No Pain 4+ / Scope: unit. Duration: permanent."
"adepta-sororitas","litany-of-deeds","Litany of Deeds","","If 1+ friendly units destroyed current and the unit has ""ADEPTA SORORITAS"": /   -> self gains miracle dice reroll before pool / Scope: aura 12. Duration: turn."
"adepta-sororitas","lone-operative","Lone Operative","","self: cannot be targeted unless closest or within 12 / Scope: self. Duration: permanent."
"adepta-sororitas","medicus-ministorum","Medicus Ministorum","","If attached to a unit: /   -> unit gains Feel No Pain 5+ / Scope: unit. Duration: permanent."
"adepta-sororitas","ministorum-sermon","Ministorum Sermon","","unit's weapons gain Sustained Hits 1 / Scope: unit. Duration: permanent."
